GENE SYMBOL,HAPLOINSUFFICIENCY,TRIPLOSENSITIVITY,ONLINE REPORT,DATE
A4GALT,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=A4GALT&subject=,2017-05-31T10:53:17.000-0400
AAGAB,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AAGAB&subject=,2019-08-22T14:42:50.000-0400
AARS,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AARS&subject=,2018-01-11T15:05:45.000-0500
AARS2,Gene Associated with Autosomal Recessive Phenotype,,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AARS2&subject=,2017-05-31T20:32:11.000-0400
AASS,Gene Associated with Autosomal Recessive Phenotype,,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AASS&subject=,2018-10-16T13:22:12.000-0400
ABAT,Gene Associated with Autosomal Recessive Phenotype,,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ABAT&subject=,2017-05-31T09:35:20.000-0400
ABCC8,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ABCC8&subject=,2017-12-06T20:03:03.000-0500
ABCD1,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ABCD1&subject=,2019-08-22T11:25:25.000-0400
ABCG5,Gene Associated with Autosomal Recessive Phenotype,,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ABCG5&subject=,2018-10-16T11:39:59.000-0400
ABCG8,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ABCG8&subject=,2018-10-25T10:09:23.000-0400
ABHD12,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ABHD12&subject=,2018-02-09T14:40:01.000-0500
ABR,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ABR&subject=,2017-05-31T20:23:08.000-0400
ACAD8,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ACAD8&subject=,2017-05-31T17:34:42.000-0400
ACADM,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ACADM&subject=,2018-10-16T14:28:57.000-0400
ACADSB,Gene Associated with Autosomal Recessive Phenotype,,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ACADSB&subject=,2017-05-31T20:43:39.000-0400
ACADVL,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ACADVL&subject=,2018-10-17T16:51:59.000-0400
ACOX1,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ACOX1&subject=,2017-06-01T03:38:27.000-0400
ACP5,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ACP5&subject=,2018-10-22T15:30:03.000-0400
ACSF3,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ACSF3&subject=,2018-10-19T16:35:32.000-0400
ACSL4,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ACSL4&subject=,2019-08-22T11:38:56.000-0400
ACTA2,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ACTA2&subject=,2017-05-31T15:43:19.000-0400
ACTB,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ACTB&subject=,2017-05-31T20:27:36.000-0400
ACTC1,Minimal Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ACTC1&subject=,2017-06-01T04:56:54.000-0400
ACVRL1,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ACVRL1&subject=,2019-08-22T16:21:26.000-0400
ADA2,Gene Associated with Autosomal Recessive Phenotype,,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ADA2&subject=,2018-10-18T10:01:17.000-0400
ADAM9,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ADAM9&subject=,2017-05-31T14:54:10.000-0400
ADAMTS13,Gene Associated with Autosomal Recessive Phenotype,,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ADAMTS13&subject=,2018-10-18T09:56:35.000-0400
ADAMTS17,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ADAMTS17&subject=,2018-11-12T09:28:26.000-0500
ADAMTS18,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ADAMTS18&subject=,2018-10-25T09:09:02.000-0400
ADAMTS2,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ADAMTS2&subject=,2018-11-12T08:27:50.000-0500
ADAMTSL2,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ADAMTSL2&subject=,2018-10-25T09:49:53.000-0400
ADGRG1,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ADGRG1&subject=,2017-05-31T20:32:52.000-0400
ADNP,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ADNP&subject=,2019-08-28T12:50:29.000-0400
ADSL,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ADSL&subject=,2017-12-06T19:59:57.000-0500
AFF2,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AFF2&subject=,2019-08-22T11:21:27.000-0400
AGA,Gene Associated with Autosomal Recessive Phenotype,,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AGA&subject=,2017-05-31T12:06:44.000-0400
AGK,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AGK&subject=,2017-05-31T21:36:40.000-0400
AGPAT2,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AGPAT2&subject=,2018-10-23T10:53:41.000-0400
AGRN,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AGRN&subject=,2018-11-09T16:09:28.000-0500
AGT,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AGT&subject=,2017-06-01T01:30:43.000-0400
AGTR2,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AGTR2&subject=,2017-05-31T20:14:36.000-0400
AGXT,Gene Associated with Autosomal Recessive Phenotype,,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AGXT&subject=,2018-10-17T09:48:53.000-0400
AHCY,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AHCY&subject=,2017-05-31T11:11:48.000-0400
AHDC1,Sufficient Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AHDC1&subject=,2019-08-28T14:12:16.000-0400
AHI1,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AHI1&subject=,2017-12-06T20:02:13.000-0500
AICDA,Gene Associated with Autosomal Recessive Phenotype,,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AICDA&subject=,2017-06-01T05:55:57.000-0400
AIMP1,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AIMP1&subject=,2018-10-25T10:19:02.000-0400
AKT2,No Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AKT2&subject=,2017-05-31T21:23:57.000-0400
AKT3,Minimal Evidence for Haploinsufficiency,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AKT3&subject=,2017-05-31T19:51:18.000-0400
ALAD,Gene Associated with Autosomal Recessive Phenotype,,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ALAD&subject=,2018-10-16T12:13:59.000-0400
ALDH1A3,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ALDH1A3&subject=,2018-10-18T09:31:08.000-0400
ALDH3A2,Gene Associated with Autosomal Recessive Phenotype,,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ALDH3A2&subject=,2018-10-18T09:01:08.000-0400
ALDH4A1,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ALDH4A1&subject=,2017-05-31T16:18:17.000-0400
ALDH5A1,Gene Associated with Autosomal Recessive Phenotype,No Evidence for Triplosensitivity,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ALDH5A1&subject=,2018-11-12T08:33:56.000-0500
ALDOA,Gene Associated with Autosomal Recessive Phenotype,,https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ALDOA&subject=,2017-05-31T20:55:23.000-0400
